img_id,absorbance
Image061,1.2157
Image062,1.2157
Image063,1.2157
Image064,1.2157
Image065,1.2157
Image066,1.2157
Image067,1.2157
Image068,1.2157
Image069,1.2157
Image070,1.2157
Image071,1.2157
Image072,1.2157
Image073,1.2157
Image074,1.2157
Image075,1.2157
Image076,1.2157
Image077,1.2157
Image078,1.2157
Image079,1.2157
Image080,1.2157
Image081,0.7297
Image082,0.7297
Image083,0.7297
Image084,0.7297
Image085,0.7297
Image086,0.7297
Image087,0.7297
Image088,0.7297
Image089,0.7297
Image090,0.7297
Image091,0.7297
Image092,0.7297
Image093,0.7297
Image094,0.7297
Image095,0.7297
Image096,7.194
Image097,7.194
Image098,7.194
Image099,7.194
Image100,7.194
Image101,7.194
Image102,7.194
Image103,7.194
Image104,7.194
Image105,7.194
Image106,2.5295
Image107,2.5295
Image108,2.5295
Image109,2.5295
Image110,2.5295
Image111,2.5295
Image112,2.5295
Image113,2.5295
Image114,2.5295
Image115,2.5295
Image116,1.282
Image117,1.282
Image118,1.282
Image119,1.282
Image120,1.282
Image121,1.282
Image122,1.282
Image123,1.282
Image124,1.282
Image125,1.282
Image126,0.7588
Image127,0.7588
Image128,0.7588
Image129,0.7588
Image130,0.7588
Image131,0.7588
Image132,0.7588
Image133,0.7588
Image134,0.7588
Image135,0.7588
Image136,9.5432
Image137,9.5432
Image138,9.5432
Image139,9.5432
Image140,9.5432
Image141,9.5432
Image142,9.5432
Image143,9.5432
Image144,9.5432
Image145,9.5432
Image146,4.7716
Image147,4.7716
Image148,4.7716
Image149,4.7716
Image150,4.7716
Image151,4.7716
Image152,4.7716
Image153,4.7716
Image154,4.7716
Image155,4.7716
Image156,3.1811
Image157,3.1811
Image158,3.1811
Image159,3.1811
Image160,3.1811
Image161,3.1811
Image162,3.1811
Image163,3.1811
Image164,3.1811
Image165,3.1811
Image166,1.9086
Image167,1.9086
Image168,1.9086
Image169,1.9086
Image170,1.9086
Image171,1.9086
Image172,1.9086
Image173,1.9086
Image174,1.9086
Image175,1.9086
Image176,0.9543
Image177,0.9543
Image178,0.9543
Image179,0.9543
Image180,0.9543
Image181,0.9543
Image182,0.9543
Image183,0.9543
Image184,0.9543
Image185,0.9543
Image186,0.2401
Image187,0.2401
Image188,0.2401
Image189,0.2401
Image190,0.2401
Image191,0.2401
Image192,0.2401
Image193,0.2401
Image194,0.2401
Image195,0.2401
Image196,0.4911
Image197,0.4911
Image198,0.4911
Image199,0.4911
Image200,0.4911
Image201,0.4911
Image202,0.4911
Image203,0.4911
Image204,0.4911
Image205,0.4911
Image206,0.2674
Image207,0.2674
Image208,0.2674
Image209,0.2674
Image210,0.2674
Image211,0.2674
Image212,0.2674
Image213,0.2674
Image214,0.2674
Image215,0.2674
Image216,0.8413
Image217,0.8413
Image218,0.8413
Image219,0.8413
Image220,0.8413
Image221,0.8413
Image222,0.8413
Image223,0.8413
Image224,0.8413
Image225,0.8413
Image226,7.6124
Image227,7.6124
Image228,7.6124
Image229,7.6124
Image230,7.6124
Image231,7.6124
Image232,7.6124
Image233,7.6124
Image234,7.6124
Image235,7.6124
Image236,7.6124
Image237,7.6124
Image238,7.6124
Image239,7.6124
Image240,1.1146
Image241,1.1146
Image242,1.1146
Image243,1.1146
Image244,1.1146
Image245,1.1146
Image246,1.1146
Image247,1.1146
Image248,1.1146
Image249,1.1146
Image250,1.5005
Image251,1.5005
Image252,1.5005
Image253,1.5005
Image254,1.5005
Image255,1.5005
Image256,1.5005
Image257,1.5005
Image258,1.5005
Image259,1.5005
